,jarak,label
54,1.621564314233421,3.0
44,1.7833860205357077,3.0
53,2.909624007536777,3.0
41,3.3062385544461614,3.0
49,3.31359154332812,3.0
59,3.4258502879303556,3.0
2,3.468212377512501,1.0
38,3.6366201483679337,2.0
3,3.6687715442031394,1.0
0,3.716552084851504,1.0
13,3.7552575448983014,1.0
5,3.870009623670811,1.0
14,3.979699940726877,1.0
7,4.021474414903887,1.0
1,4.156866730558606,1.0
6,4.1698317649807155,1.0
36,4.368528975542711,2.0
11,4.532401523940564,1.0
46,4.551510470008143,3.0
10,4.630610182166026,1.0
12,4.635650743153544,1.0
8,4.637636808860569,1.0
17,4.637636808860569,1.0
21,5.0042447192319575,2.0
9,5.063508526244025,1.0
16,5.071347459416672,1.0
40,5.098250384437967,3.0
4,5.103093663789275,1.0
24,5.139532558693932,2.0
58,5.160645616935323,3.0
56,5.1985554375898815,3.0
23,5.22233485828612,2.0
55,5.244890905942122,3.0
19,5.375239877005636,1.0
25,5.447168633167514,2.0
37,5.692906084549437,2.0
20,5.699673880901679,2.0
39,5.713363028011064,2.0
57,5.899619604229529,3.0
15,6.00634811273599,1.0
43,6.021361155181842,3.0
26,6.073397251522799,2.0
52,6.093924025960587,3.0
32,6.298462016976595,2.0
50,6.586039441678417,3.0
34,6.612503645955399,2.0
47,6.68761408343112,3.0
18,6.745233053446893,1.0
35,6.789420975504258,2.0
28,6.822935179085891,2.0
33,7.301803198940292,2.0
22,7.324197916637037,2.0
29,7.370348481799491,2.0
30,7.492647763495392,2.0
27,7.577185629600854,2.0
31,7.910850663963962,2.0
42,7.962312618907332,3.0
45,8.367785634549994,3.0
48,8.683556848774495,3.0
51,9.487632330372426,3.0
